"name","url","notes","email","phone","contact","type_community","civic_taxonomy","district","neighborhood","categories","ownership","ethnicity","size_organization","address","zipcode","source"
"Rainier Beach 2014 Neighborhood Planning Committee","http://www.cityofseattle.net/Neighborhoods/npi/stewards.htm","Advise the city on the neighborhood plan","dawn.blanch@seattle.gov",,"Dawn Blanch","Community council","Planning","Southeast","Rainier Beach","Advocacy","Community group",,,,98118,"DPR"
"Rainier Beach Block Watch",,"Foster safety and community in Rainier Beach","mariam@ambia-inc.com","206-856-7642","Maria McDaniel","Community council","Public safety","Southeast","Rainier Beach","Service provider","Community group",,0,,98118,"DPR"
"Rainier Beach Community Advisory Council","http://www.cityofseattle.net/Parks/centers/RainierBeach/advisory.htm","Advise the Rainier Beach Community Center on how best to serve the community","james17jr@aol.com","206-386-1925","James Luster","Community council","Neighborhood","Southeast","Rainier Beach","Advocacy","Community group",,0,"8825 Rainier Ave S",98118,"DPR"
"Rainier Beach Community Center","http://www.cityofseattle.net/parks/centers/rainierbeach.htm","Provide community services and programs","anita.adams@seattle.gov","206-386-1925","Anita Adams","Community council","Neighborhood","Southeast","Rainier Beach","Service provider","Nonprofit",,,"8825 Rainier Ave S",98118,"DON"
"Rainier Beach Community Club",,"Provide community services and programs","josephwmarley@yahoo.com","206-723-6766","Joe & Elaine Marley","Community council","Neighborhood","Southeast","Rainier Beach","Service provider","Community group",,,"6038 S Pilgrim St",98118,"DON"
"Rainier Beach Community Empowerment Coalition","http://www.rbcoalition.org/","Empower the community to handle issues","rainierbeachneighborhood@hotmail.com; gregoryshawndavis@msn.com","206-914-1762","Gregory Davis","Community council","Neighborhood","Southeast","Rainier Beach","Advocacy","Nonprofit",,,"3703 S. Edmunds St., Suite 19",98118,"DON"
"Rainier Beach Family Center - Atlantic Street Center","http://www.atlanticstreet.org/programs/folder.2007-01-25.3793394326/rainier-beach-family-center","Strengthen and empower the family to help all children succeed through programs, education and support","rbfcinfo@atlanticstreet.org","206-723-1301","Jim Yearby","Youth & family","Education","Southeast","Rainier Valley","Service provider","Nonprofit","People of color",13,"8825 Rainier Ave S",98118,"DON"
"Rainier Beach Merchants Association",,"Advance business and revitalize the Rainier Beach community","ganderson@rvcdf.org","206-722-5280 x102","Gregory Anderson","Business","Neighborhood","Southeast","Rainier Beach","Advocacy","Community group",,0,"6951 MLK Way S Ste 225",98118,"DON"
"Rainier Branch - Therapeutic Health Services","http://www.therapeutichealth.org/index.html","Rehabilitate individuals and heal families affected by alcohol dependence, drug dependence and/or mental illness","info@ths-wa.org","206-723-1980","Randon Aea","Social justice","Substance abuse","Southeast","Rainier Valley","Service provider","Nonprofit",,,"5802 Rainier Ave. S.",98118,"DON"
"Rainier Chamber of Commrce","http://www.rainierchamber.com/","Advance commercial, industrial, educational, civic and socio-economic interests of Southeast Seattle","mail@rainierchamber.com; susand@rainierchamber.com","206-725-2010","Susan Davis","Business","Neighborhood","Southeast","Rainier Beach","Advocacy","Community group",,0,"5290 Rainier Ave S",98144,"DON"
"Rainier Othello Safety Association","http://othelloneighborhood.org/rosa.aspx","Prevent crime, build community and increase safety near the intersection of Rainier Ave and Othello","lamness@drizzle.com","206-760-1793","Leslie Miller","Community council","Public safety","Southeast","Rainier Valley","Advocacy","Community group",,0,"5150 S Orchard St",98118,"DON"
"Rainier Valley Chamber of Commerce","http://rainierchamber.com/","Promote, serve, represent, and celebrate businesses and neighborhoods","mail@rainierchamber.com","206-725-2010","Susan Davis","Business","Neighborhood","Southeast","Rainier Valley","Advocacy","Community group",,1,"5290 Rainier Ave S",98118,"DPR"
"Rainier Valley Community Development Fund","http://www.rvcdf.org/index.php","Provide loans for individuals and small businesses to stimulate the Rainier Valley economy","martina@rvcdf.org","206-722-5280","Martina Guilfoil","Business","Neighborhood","Southeast","Rainier Valley","Service provider","Nonprofit",,5,"6951 MLK Jr Way S #205",98118,"DON"
"Rainier Valley Cultural Center","http://www.mountbaker.org/dir/info/rvcc.htm","Enhance Southeast community through art events","bfaircloth@seedseattle.org","206-725-7517 ",,"Arts","Support","Southeast","Rainier Valley","Service provider","Community group",,,"3515 S Alaska St",98118,"DPR"
"Rainier Vista","http://www.rainiervista.com/","Provide community news and information","website@newrainiervista.com",,,"Media","Neighborhood","Southeast","Rainier Vista","Information","Media",,,,98118,"DOIT"
"Rainier Vista Boys and Girls Club","http://rainiervistabgc.org/","Provide community center and resources to aid in youth development",,"206-436-1890",,"Youth & family","Community","Southeast","Rainier Valley","Service provider","Community group",,16,"4520 MLK Jr. Way. S.",98108,"DPR"
"Rainier Vista Cambodian Youth Program","http://www.seattlehousing.org/CommunitySites/rainiervistacommunity/DirectoryofServices/RainierCambodianYouthClub.htm","Classes and food are provided to Cambodian youth 6-18","Sambath@rewa.org","206-721-3884","Sambath Soung","Youth & family","RSJ; Health","Southeast","Rainier Valley","Service provider","Community group","Cambodian",,"4219 Tamarack Dr S #451",98108,"DON"
"Ravenna Blog","http://www.ravennablog.com/","Provide community news and information","rebecca@ravennablog.com",,,"Media","Neighborhood","Northeast","Ravenna","Information","Media",,,,98115,"Online"
"Ravenna Bryant Community Association","http://www.scn.org/rbca/","Maintain and improve the neighborhood through community involvement","rbca@scn.org","206-525-9070","Jorgen Bader","Community council","Neighborhood","Northeast","Ravenna","Advocacy","Community group",,0,"PO Box 51250",98115,"DPR"
"Ravenna Creek Alliance",,"Restore Ravenna Creek as a natural waterway between Ravenna Park and University Slough","ravennacreek@earthlink.net",,,"Environment","Neighborhood","Northeast","Ravenna","Service provider","Community group",,0,,98105,"DPR"
"Red Eagle Soaring: Native Youth Theatre","http://home.comcast.net/~attblsmith/RedEagleSoaring/Redeaglesoaring.html","Empower American Indian and Alaskan Native Youth through traditional and contemporary performing arts","resoaring@earthlink.net","206-447-8860","Larry Cordier","Youth & family","Arts; RSJ","Citywide",,"Service provider","Nonprofit","Native American",2,"PO Box 22378",98122,"DON"
"Reel Grrls","http://www.reelgrrls.org/","Empower young women through media arts education","info@reelgrrls.org","206-323-0693",,"Youth & family","Women; Arts","Citywide",,"Education","Nonprofit",,6,"1409 21st Ave",98122,"DON"
"Refugee & Immigrant Family Center","http://rifccenter.com/","Provide culturally appropriate services to assist and empower refugees, immigrants and low income families to have healthy and successful lives ","rifcdirector@gmail.com","206-767-6896","Tim Zern","RSJ","Education","Delridge","White Center","Service provider","Nonprofit",,1,"9001 9th Ave SW",98106,"DON"
"Refugee Assistance Program - Catholic Community Services","http://www.ccsww.org/site/PageServer?pagename=refugeeimmigration_index","Assist refugees, immigrants and their families in attaining self-sufficiency through advocacy, education and employment","immigration@ccsww.org","206-725-2090","Linda Chulaparn","RSJ","Education; Employment","Citywide",,"Service provider","Nonprofit",,"Regional","4250 S Mead St",98118,"DON"
"Refugee Federation Services Center","http://rfsc.org/","Helps new immigrants find work that matches their interests and offers ESL and other services","ngy@rfsc.org","206-725-9181","Ngy Hul","RSJ","Employment","Greater Duwamish","NewHolly","Service provider","Nonprofit",,,"7101 MLK Jr Way S Suite 214",98118,"DON"
"Refugee Resettlement Office - Diocese Of Olympia","http://www.dioceserroseattle.org/","Office helps newcomers, citizens and the working poor to achieve economic self-sufficiency ","hotel2@mindspring.com;  info@rroseattle.org","206-323-3152","Greg Hope","RSJ","Employment; Immigration","Downtown","International District","Service provider","Nonprofit",,10,"1610 S King St",98144,"DON"
"Refugee Social Development Resource Center",,"Provide social resources to the refugee community","rsdrc@comcast.net","206-721-1119","Abdurahman Jama","RSJ","Education","Citywide",,"Service provider","Community group","Somali",,"8457 Rainier Ave S",98118,"DON"
"Refugee Support Network - Americorps VISTA and International Rescue Committee","http://www.theirc.org/seattle-staff","Provide support to new immigrants and refugees","katie.clark@theirc.org","206-623-2105","Katie Clark","RSJ","Emergency","Citywide",,"Service provider","Nonprofit",,12,"100 S King St Suite 570",98104,"DPR"
"Refugee Support Service Coalition","refugeecoalition.com","Supports the immigrant and refugee community through classes, workshops, and other services",,"206-277-7130","Suldan Mohamoud","RSJ","Education","Citywide",,"Education","Community group","African",,"15415 1st Ave S, Burien",98148,"DPR"
"Refugee Women's Alliance","http://rewa.org/","Provides comprehensive culturally and linguistically appropriate services to refugee and immigrant communities","someireh@rewa.org","206-721-0243","Someireh Amirfaiz","RSJ","Abuse; Education; Health","Citywide",,"Service provider","Nonprofit",,137,"4008 MLK Jr. Way S",98108,"DON"
"Residents of Magnuson Park (ROMP)",,"Support community of residents in the Magnuson Park area","munkeesbizniz@yahoo.com",,"Andy Smith","Environment","Parks","Northeast","University","Advocacy","Community group",,0,"6940 62nd Ave NE",98115,"DON"
"Riverview Neighborhood Council","http://www.hpic1919.org/riverview/","Provide a network for neighbors to share information and resources","julie@teknograf.com",,"Julie Schickling","Community council","Neighborhood","Delridge","Riverview","Information","Community group",,0,,98106,"DON"
"Roosevelt Chamber of Commerce",,"Support local business and community","peterbruce.armstrong@gmail.com","206-353-3892","Peter Armstrong","Business","Neighborhood","Northeast","Roosevelt","Advocacy","Community group",,0,"1026 NE 65th St #318",98115,"DON"
"Roosevelt Neighborhood Association","http://rooseveltseattle.org/default.aspx","Educate and empower residents concerned with community problems","RNA@RooseveltSeattle.org",,,"Community council","Neighborhood","Northeast","Roosevelt","Advocacy","Community group",,0,"6910 Roosevelt Way NE #518",98115,"DPR"
"Roosevelt Neighborhood Blog","http://www.roosiehood.com/","Provide community news and information","roosiehood@gmail.com",,,"Media","Neighborhood","Northeast","Roosevelt","Information","Media",,,,98115,"Online"
"Roosevelt Neighbors Alliance","http://www.rooseveltneighborsalliance.org/main/Roosevelt_Neighbors_Alliance.html","Inform and advocate for Roosevelt residents","rnalliance@gmail.com; mgriffin@walshconstructionwa.com","206-992-5885","Mark Griffin","Community council","Neighborhood","Northeast","Roosevelt","Advocacy","Community group",,0,,98115,"DPR"
"Rotary Club of West Seattle","http://www.westseattlerotary.org/","Builds social networks through service and support","kenaolsen@qwestoffice.net","206-718-9401","Kenneth Olsen","Business","Development","Southwest",,"Volunteerism","Community group",,0,"6523 California Ave SW #315",98136,"DPR"
"Rotary Club Seattle","http://www.seattlerotary.org/","Builds social networks through service and support","info@seattlerotary.org","206-623-0023",,"Business","Development; Social action","Citywide",,"Volunteerism","Nonprofit",,3,"1215 4th Ave #1215",98161,"DPR"
"Ruth Dykeman Children's Center","http://www.ruthdykeman.org/","Provides resources and services to help children and families achieve success and self-sufficiency","kits@rdcc.org","206-242-1698","Kit Schumann","Youth & family","Education; Substance abuse","Citywide",,"Service provider","Nonprofit",,,"1033 SW 152nd Street",98166,"DPR"
